Account Type,Eligibility,Age Criteria,Minimum Balance Requirement,Key Features
Regular Savings Account,"Resident individuals, HUFs, NRIs",18+ years (Minors allowed with a guardian),10000,"Extended banking hours, mobile banking, internet banking,  SMS alerts"
Silver Savings Account,"Resident individuals, HUFs, NRIs",18+ years,10000,"Transactions at non-ICICI ATMs, free anywhere cash withdrawal/deposit, preferential rates on forex and lockers"
Senior Citizen Savings Account,"Resident individuals, 60 years and above",60+ years,10000,"Higher interest rates, special debit card offers, extended benefits tailored for senior citizens"
Student Savings Account,Students of premium educational institutions,18+ years (Minors allowed with a guardian),0,"Zero-balance account, Titanium debit card, special offers for students"
Women's Savings Account,Resident women,18+ years,10000,"Exclusive debit card offers, higher withdrawal limits, special lifestyle benefits"
Youth Saving Account,Minors (opened by parent or guardian),Below 18 years,0,"Educational insurance cover, exclusive debit card for children, personalized offers"
Pockets Savings Account,Digital account for smartphone users,18+ years,0,"Virtual debit card, online shopping, free fund transfers, attractive offers"
Advantage Woman Savings Account,Resident women,18+ years,10000,"Cashback on debit card spends, free personal accident insurance, special offers on lifestyle"
Basic Savings Bank Deposit Account (BSBDA),"Resident individuals, HUFs, NRIs ",18+ years (Minors allowed with a guardian),0,"No minimum balance requirement, free ATM transactions, basic banking services"
Salary Current Account,Employees of partner corporates,18+ years,0,"Zero balance requirement, free salary processing, instant personal loans, benefits on other ICICI products"
Regular Current Account,"Businesses, professionals, traders",18+ years,10000 - 25000 ,"Unlimited cash deposit at home branch, access to 5,000+ ATMs, internet banking"
Roaming Current Account,Businesses with multiple locations,18+ years,25000 - 100000 ,"Unlimited free transactions across all ICICI Bank branches in India, dedicated Relationship Manager"
Prestige Current Account,Medium to large businesses,18+ years,100000 - 500000,"High cash deposit limits, Demand Drafts (DD), Pay Orders (PO), doorstep banking services"
Global Current Account,"Exporters, importers, businesses with international dealings",18+ years,200000,"Specially designed for businesses involved in international trade, foreign exchange services, trade finance"
Smart Business Current Account,Small to medium-sized businesses,18+ years,50000,"Auto sweep facility (converts idle balances into FDs), NEFT/RTGS , business loans at special rates"
Premium Current Account,Large businesses with high transaction volumes,18+ years,500000,"Higher free cash deposit limits, personalized cheque books, premium debit cards, overdraft facility"
Shubhaarambh Current Account,Startups and new businesses,18+ years,0,"Zero balance for the first year, lower transaction charges, bundled offers on digital banking solutions"
